"subjID"	"cue"	"keyPressed"	"outcome"
3	1	1	0
3	1	1	1
3	3	1	0
3	4	1	-1
3	4	0	0
3	1	1	1
3	1	1	1
3	2	1	0
3	3	0	0
3	3	0	1
3	4	0	0
3	4	0	0
3	1	1	0
3	2	1	0
3	2	1	0
3	4	1	-1
3	2	0	-1
3	4	1	-1
3	2	0	-1
3	2	1	0
3	4	1	-1
3	2	1	-1
3	2	1	0
3	2	1	0
3	4	1	-1
3	3	0	1
3	4	0	-1
3	2	0	-1
3	3	0	1
3	3	0	1
3	1	1	1
3	2	1	0
3	4	1	-1
3	1	1	1
3	2	0	0
3	2	1	-1
3	3	0	1
3	1	1	0
3	3	0	1
3	1	1	1
3	4	0	-1
3	3	0	1
3	3	0	1
3	3	0	1
3	4	1	-1
3	1	1	1
3	2	1	0
3	2	0	0
3	1	1	1
3	4	1	-1
3	2	1	0
3	3	0	1
3	4	0	0
3	2	1	0
3	3	0	1
3	1	1	1
3	3	0	0
3	4	0	0
3	1	1	1
3	1	1	1
3	3	0	1
3	3	0	1
3	2	1	0
3	2	1	0
3	4	0	0
3	4	0	0
3	1	0	0
3	4	1	-1
3	2	0	-1
3	2	0	-1
3	4	0	-1
3	4	0	-1
3	4	1	0
3	2	1	0
3	1	1	1
3	4	1	-1
3	2	1	0
3	1	1	1
3	4	1	-1
3	1	1	1
3	4	1	-1
3	1	1	1
3	2	0	-1
3	4	1	-1
3	1	1	1
3	2	1	0
3	1	1	1
3	4	0	0
3	2	0	-1
3	4	0	0
3	3	0	1
3	1	1	1
3	1	1	1
3	4	0	-1
3	1	1	1
3	4	1	-1
3	2	1	0
3	4	0	-1
3	2	1	-1
3	1	1	1
3	3	0	1
3	3	0	1
3	1	1	0
3	3	0	1
3	2	1	-1
3	3	0	1
3	2	1	0
3	1	1	1
3	4	0	0
3	1	1	0
3	1	1	1
3	4	1	0
3	4	0	0
3	3	0	1
3	3	0	1
3	2	1	0
3	1	1	1
3	1	1	1
3	2	1	0
3	2	0	-1
3	4	0	0
3	3	0	1
3	4	0	0
3	2	1	0
3	3	0	1
3	1	1	1
3	1	1	1
3	2	0	-1
3	4	1	-1
3	4	0	-1
3	4	0	-1
3	3	0	1
3	3	1	1
3	1	1	1
4	4	1	-1
4	3	0	1
4	2	0	-1
4	3	1	0
4	4	1	0
4	4	0	0
4	1	1	1
4	1	1	1
4	1	1	1
4	1	1	1
4	2	1	0
4	2	1	0
4	4	1	-1
4	4	1	-1
4	2	1	0
4	2	0	-1
4	4	0	0
4	1	1	1
4	4	1	-1
4	3	1	0
4	1	1	1
4	3	0	1
4	2	0	-1
4	3	0	0
4	3	1	0
4	1	1	1
4	2	1	0
4	4	0	-1
4	3	1	0
4	2	1	0
4	4	1	-1
4	4	1	-1
4	1	1	1
4	1	1	1
4	3	1	0
4	3	0	1
4	4	0	0
4	1	1	1
4	4	0	0
4	4	1	-1
4	4	0	0
4	4	1	-1
4	2	1	0
4	2	1	0
4	3	0	1
4	1	1	1
4	2	0	0
4	1	1	1
4	2	1	0
4	2	1	0
4	2	1	0
4	1	1	0
4	1	1	0
4	1	1	1
4	3	0	1
4	1	1	1
4	3	0	1
4	3	0	1
4	1	1	1
4	2	1	0
4	4	0	0
4	4	0	-1
4	4	0	0
4	1	1	1
4	2	1	-1
4	2	1	0
4	4	0	0
4	4	0	0
4	3	0	0
4	4	0	0
4	4	0	0
4	2	1	0
4	2	0	0
4	4	1	0
4	1	1	0
4	2	1	0
4	3	0	1
4	4	1	-1
4	1	1	1
4	1	1	0
4	2	1	0
4	1	1	1
4	3	0	1
4	2	0	-1
4	4	1	0
4	1	1	1
4	1	1	1
4	1	1	0
4	1	1	1
4	2	0	-1
4	4	0	0
4	2	1	0
4	4	0	0
4	3	0	0
4	1	1	1
4	3	0	1
4	2	1	0
4	4	1	-1
4	2	1	0
4	3	0	1
4	4	0	0
4	4	0	0
4	4	1	-1
4	1	1	1
4	3	0	1
4	1	1	1
4	2	1	0
4	2	1	-1
4	4	0	-1
4	2	1	0
4	3	0	1
4	2	0	-1
4	2	0	-1
4	1	1	0
4	1	1	1
4	4	0	0
4	4	1	0
4	4	1	-1
4	2	1	0
4	2	1	0
4	1	1	1
4	1	1	0
4	4	0	0
4	3	0	1
4	3	0	1
4	2	1	0
4	1	1	1
4	3	1	0
4	3	0	1
4	4	1	-1
4	4	0	0
4	1	1	0
4	3	0	1
4	1	1	1
4	1	1	1
4	1	1	1
4	4	1	0
4	1	1	1
4	3	0	0
4	1	1	0
4	2	0	-1
4	2	1	0
4	3	0	1
4	3	0	1
4	2	1	-1
4	3	0	0
4	3	0	1
4	3	0	1
4	3	0	1
4	3	0	1
4	2	0	0
4	2	1	0
4	4	0	-1
4	4	0	-1
4	1	1	0
4	3	0	1
4	3	0	1
4	1	1	1
4	3	0	1
4	2	1	0
4	4	0	0
4	4	0	0
4	3	0	1
4	1	1	0
4	3	0	1
4	4	0	0
4	3	0	1
4	2	0	-1
4	4	1	-1
4	3	0	1
4	4	1	-1
4	1	1	1
4	3	0	1
4	3	1	0
4	4	1	-1
4	1	1	1
4	1	1	1
4	2	0	-1
4	4	1	-1
4	2	1	0
4	1	1	1
4	2	1	0
4	2	1	0
4	3	0	1
4	2	1	-1
4	4	1	-1
4	1	1	1
4	1	1	1
4	2	1	0
4	3	0	0
4	1	1	1
4	1	1	1
4	4	1	-1
4	4	0	0
4	2	1	0
4	4	0	0
4	1	1	1
4	4	1	-1
4	4	0	0
4	3	0	1
4	3	0	1
4	3	0	1
4	3	0	1
4	3	0	0
4	4	1	-1
4	2	1	0
4	4	1	-1
4	1	1	0
4	4	0	-1
4	2	1	0
4	3	0	0
4	1	1	1
4	3	0	1
4	3	1	0
4	3	0	0
4	1	1	1
4	1	1	0
4	1	1	1
4	3	0	1
4	3	0	0
4	3	1	0
4	4	1	-1
4	4	1	-1
4	2	1	0
4	2	1	0
4	2	1	0
4	4	0	0
4	2	1	0
4	2	1	0
4	2	0	0
4	3	0	1
4	2	1	0
4	1	1	1
4	2	1	-1
4	1	1	1
4	3	0	0
4	2	1	-1
4	1	1	0
4	2	0	-1
4	3	0	1
5	1	1	1
5	1	1	1
5	4	1	-1
5	1	0	0
5	3	0	1
5	3	0	1
5	4	0	0
5	3	0	1
5	3	0	1
5	3	0	1
5	2	1	0
5	4	1	-1
5	4	0	0
5	1	0	0
5	2	1	-1
5	3	0	1
5	1	1	1
5	1	0	0
5	4	0	0
5	3	0	0
5	1	1	1
5	2	1	0
5	2	1	0
5	4	1	-1
5	1	0	0
5	4	1	-1
5	3	0	0
5	1	1	1
5	4	0	0
5	1	1	1
5	3	0	1
5	2	0	-1
5	1	1	0
5	4	0	0
5	4	0	0
5	2	0	-1
5	4	0	0
5	2	1	-1
5	4	0	0
5	2	0	0
5	4	1	-1
5	3	0	1
5	3	0	1
5	1	1	1
5	1	1	1
5	2	1	-1
5	4	1	-1
5	4	0	0
5	1	1	1
5	2	1	0
5	1	1	1
5	3	1	1
5	2	0	-1
5	2	1	0
5	2	1	0
5	1	1	1
5	1	1	1
5	2	1	0
5	3	0	1
5	4	1	-1
5	3	0	1
5	1	1	1
5	2	1	0
5	3	0	1
5	4	0	0
5	1	1	1
5	1	1	1
5	2	1	0
5	1	1	1
5	2	0	0
5	1	1	1
5	2	0	-1
5	1	1	1
5	4	0	0
5	4	0	0
5	3	0	1
5	4	1	-1
5	3	0	1
5	4	0	0
5	3	0	1
5	4	0	0
5	4	1	-1
5	4	0	0
5	4	0	0
5	2	1	0
5	2	0	0
5	2	0	-1
5	4	1	-1
5	1	1	1
5	3	0	1
5	4	1	-1
5	3	1	0
5	1	1	1
5	4	0	0
5	4	0	-1
5	1	1	0
5	4	0	0
5	2	1	0
5	4	1	-1
5	2	1	0
5	4	1	-1
5	1	1	0
5	1	1	0
5	1	1	1
5	3	0	1
5	3	0	1
5	2	1	0
5	3	0	1
5	3	0	1
5	2	1	0
5	2	1	0
5	3	1	0
5	1	1	1
5	2	1	0
5	1	1	0
5	2	1	0
5	4	1	0
5	3	1	1
5	4	0	0
5	3	1	0
5	1	1	1
5	2	1	0
5	2	1	0
5	2	1	0
5	3	1	0
5	3	0	0
5	3	0	1
5	3	0	1
5	3	1	0
5	1	1	1
5	2	1	-1
5	4	0	0
5	3	0	0
5	1	1	1
5	2	0	-1
5	3	0	1
5	1	1	1
5	1	1	1
5	1	1	1
5	3	0	1
5	2	1	0
5	2	1	0
5	2	1	-1
5	2	0	-1
5	4	0	0
5	3	0	1
5	3	1	0
5	2	1	0
5	4	0	0
5	2	1	0
5	2	0	-1
5	4	0	-1
5	3	1	0
5	4	0	-1
5	2	0	-1
5	3	0	1
5	1	1	1
5	4	0	0
5	2	1	-1
5	1	1	1
5	3	0	1
5	3	0	1
5	2	1	0
5	3	0	1
5	2	1	0
5	2	1	0
5	2	1	0
5	4	1	-1
5	3	0	1
5	2	1	-1
5	1	0	1
5	3	0	1
5	3	0	1
5	1	1	1
5	1	0	0
5	3	0	0
5	1	1	1
5	4	0	-1
5	1	1	1
5	1	1	1
5	4	0	0
5	4	0	0
5	1	1	1
5	2	1	0
5	1	1	1
5	1	1	1
5	3	0	0
5	1	1	1
5	3	0	0
5	2	0	-1
5	2	1	0
5	1	1	1
5	1	1	0
5	4	1	-1
5	2	1	0
5	4	0	0
5	3	0	1
5	2	1	0
5	1	1	1
5	4	0	0
5	2	1	0
5	3	0	1
5	3	0	1
5	2	1	0
5	3	0	1
5	1	1	1
5	4	0	0
5	1	1	1
5	3	0	1
5	4	1	-1
5	3	0	1
5	3	0	1
5	4	0	0
5	4	1	-1
5	4	0	0
5	4	0	0
5	4	0	0
5	2	1	-1
5	4	1	-1
5	3	0	0
5	4	1	0
5	2	1	0
5	3	0	1
5	3	0	0
5	1	1	1
5	1	1	0
5	3	0	1
5	4	1	-1
5	1	1	1
5	2	1	0
5	2	1	0
5	2	1	-1
5	3	0	0
5	1	1	1
5	1	1	1
5	2	0	-1
5	4	0	0
5	1	1	1
5	4	0	-1
5	4	0	0
6	1	0	0
6	3	1	0
6	1	1	1
6	4	1	-1
6	2	1	0
6	2	0	-1
6	3	1	0
6	2	1	-1
6	3	0	1
6	2	0	-1
6	3	1	0
6	3	1	0
6	4	0	0
6	1	0	0
6	1	1	1
6	3	1	0
6	4	1	-1
6	2	1	0
6	4	1	-1
6	3	0	1
6	3	0	0
6	3	0	0
6	3	1	0
6	1	1	1
6	2	0	-1
6	4	0	0
6	3	1	0
6	3	0	1
6	3	0	1
6	1	1	1
6	4	1	-1
6	1	1	0
6	1	1	1
6	4	0	0
6	1	1	1
6	3	0	1
6	2	1	-1
6	3	1	0
6	4	0	0
6	1	1	1
6	3	1	0
6	1	1	0
6	1	1	1
6	3	1	1
6	3	1	0
6	4	0	0
6	3	0	1
6	4	1	-1
6	4	1	-1
6	1	1	1
6	4	0	-1
6	4	0	0
6	4	1	-1
6	3	1	0
6	1	1	1
6	2	0	-1
6	2	1	0
6	1	1	1
6	3	0	0
6	2	1	-1
6	3	0	1
6	4	1	-1
6	3	1	0
6	2	1	-1
6	2	1	-1
6	1	1	1
6	3	0	1
6	2	0	-1
6	4	1	-1
6	4	0	0
6	2	0	-1
6	1	1	1
6	2	0	-1
6	1	1	1
6	4	0	0
6	4	0	0
6	4	1	-1
6	4	0	-1
6	4	1	0
6	4	1	-1
6	4	0	0
6	4	0	0
6	1	1	1
6	3	0	1
6	3	0	1
6	3	1	0
6	3	0	0
6	4	0	0
6	2	1	0
6	3	1	0
6	4	1	-1
6	1	1	0
6	4	1	-1
6	2	1	0
6	1	1	1
6	3	1	0
6	1	1	1
6	2	1	0
6	3	0	1
6	3	0	1
6	2	1	0
6	4	0	0
6	4	0	0
6	4	0	0
6	3	0	0
6	1	1	1
6	2	0	-1
6	4	0	0
6	3	1	1
6	2	0	-1
6	1	1	1
6	1	1	1
6	4	0	0
6	2	0	-1
6	2	1	-1
6	4	1	0
6	2	1	-1
6	2	0	-1
6	1	1	0
6	4	0	0
6	2	1	0
6	3	1	1
6	1	1	0
6	1	1	1
6	4	0	0
6	4	1	0
6	4	1	-1
6	3	0	1
6	3	0	1
6	1	1	1
6	1	1	1
6	1	1	1
6	3	0	1
6	3	0	1
6	2	1	0
6	3	0	1
6	2	1	-1
6	1	1	1
6	1	1	1
6	2	1	0
6	2	0	0
6	3	0	0
6	2	1	-1
6	2	0	-1
6	4	1	-1
6	1	1	0
6	4	0	0
6	1	1	1
6	4	0	0
6	1	1	1
6	2	1	0
6	2	1	0
6	3	0	0
6	4	1	0
6	1	1	0
6	4	1	-1
6	4	0	0
6	2	0	0
6	1	1	1
6	4	1	-1
6	1	1	0
6	3	1	0
6	4	1	-1
6	4	0	-1
6	4	0	0
6	2	1	0
6	3	0	1
6	2	1	0
6	3	1	0
6	4	0	0
6	4	1	-1
6	2	1	0
6	1	1	0
6	1	1	1
6	4	0	0
6	4	0	0
6	2	1	0
6	4	1	-1
6	3	1	0
6	3	1	0
6	2	1	-1
6	2	0	0
6	2	1	0
6	1	1	1
6	2	1	0
6	4	1	0
6	2	1	0
6	3	0	1
6	4	0	0
6	2	1	-1
6	3	0	1
6	1	1	1
6	1	1	1
6	2	1	0
6	4	1	0
6	2	1	-1
6	2	0	-1
6	1	1	1
6	1	1	1
6	4	0	0
6	3	1	0
6	4	0	-1
6	1	1	1
6	1	1	1
6	3	0	1
6	4	1	-1
6	2	1	-1
6	1	1	1
6	1	1	0
6	1	1	1
6	2	1	-1
6	3	0	1
6	2	0	-1
6	4	0	0
6	3	0	1
6	3	0	1
6	3	0	1
6	2	0	0
6	1	1	1
6	2	1	0
6	2	1	0
6	3	0	0
6	3	0	1
6	2	0	-1
6	2	0	-1
6	3	0	1
6	1	1	1
6	3	0	0
6	1	1	1
6	1	1	1
6	2	1	0
6	2	1	0
6	1	1	1
6	1	1	1
6	1	1	0
6	1	0	1
6	3	0	1
6	2	0	0
6	2	1	-1
6	1	1	0
7	1	1	1
7	2	0	-1
7	1	1	1
7	4	0	0
7	1	1	1
7	3	1	1
7	1	1	1
7	3	1	1
7	2	1	0
7	1	1	1
7	1	1	1
7	4	1	-1
7	1	1	1
7	2	1	0
7	3	1	0
7	1	1	0
7	4	0	-1
7	3	1	0
7	3	1	0
7	1	1	1
7	2	0	-1
7	2	1	-1
7	1	1	1
7	1	1	1
7	3	1	0
7	2	1	0
7	1	1	1
7	4	0	0
7	3	0	1
7	3	1	0
7	3	1	1
7	4	1	-1
7	4	1	-1
7	3	1	0
7	2	1	0
7	3	1	0
7	1	1	0
7	4	0	-1
7	2	1	0
7	1	1	1
7	2	0	0
7	2	0	-1
7	4	1	-1
7	1	1	1
7	2	1	0
7	4	0	0
7	1	1	1
7	3	1	0
7	4	1	0
7	1	1	1
7	4	1	-1
7	4	1	-1
7	3	0	1
7	2	1	-1
7	3	1	0
7	2	1	-1
7	2	1	0
7	4	1	-1
7	2	0	-1
7	4	0	0
7	4	1	-1
7	1	0	0
7	1	1	1
7	4	0	0
7	4	0	0
7	2	0	0
7	1	1	1
7	3	0	1
7	4	1	-1
7	3	0	1
7	3	1	0
7	2	1	0
7	1	1	1
7	2	0	-1
7	3	0	1
7	4	1	-1
7	1	1	1
7	4	1	-1
7	3	0	1
7	2	0	-1
7	1	1	1
7	2	1	0
7	4	1	0
7	2	1	0
7	4	1	-1
7	3	0	1
7	2	1	0
7	3	0	1
7	4	0	0
7	1	1	0
7	4	1	-1
7	3	0	0
7	2	1	0
7	1	1	1
7	3	0	1
7	4	1	-1
7	2	1	0
7	4	0	-1
7	2	1	0
7	3	0	1
7	2	0	-1
7	4	1	0
7	4	0	0
7	4	0	-1
7	3	0	1
7	2	1	0
7	2	0	-1
7	3	0	1
7	3	0	1
7	3	0	1
7	3	0	0
7	2	1	0
7	2	1	0
7	3	0	1
7	2	1	0
7	3	0	1
7	1	1	1
7	3	0	1
7	4	0	0
7	3	0	1
7	1	1	1
7	3	0	1
7	1	1	1
7	1	1	1
7	2	1	-1
7	3	0	1
7	1	1	1
7	3	0	0
7	1	1	0
7	4	1	-1
7	1	1	1
7	2	1	0
7	2	1	0
7	3	0	1
7	1	1	1
7	1	1	1
7	2	1	-1
7	3	0	1
7	2	1	0
7	4	1	-1
7	4	0	0
7	4	0	0
7	3	0	1
7	2	1	0
7	1	1	1
7	2	1	-1
7	4	0	0
7	4	0	0
7	3	0	1
7	1	1	1
7	2	1	0
7	1	1	1
7	3	0	0
7	3	0	1
7	4	0	0
7	2	0	-1
7	2	0	-1
7	1	1	0
7	1	1	1
7	4	0	0
7	3	0	1
7	3	0	1
7	2	1	0
7	3	0	0
7	1	1	0
7	1	1	1
7	3	0	1
7	4	0	-1
7	4	0	0
7	2	0	-1
7	1	1	0
7	1	1	1
7	2	1	0
7	2	0	-1
7	4	0	0
7	2	1	0
7	3	1	0
7	3	0	0
7	3	1	0
7	4	0	0
7	1	1	0
7	3	1	0
7	4	0	0
7	2	1	-1
7	1	1	0
7	3	0	1
7	4	0	0
7	4	0	0
7	1	1	1
7	3	0	1
7	3	1	0
7	4	1	-1
7	2	1	0
7	2	0	-1
7	2	0	-1
7	4	0	0
7	4	0	0
7	1	1	1
7	4	0	0
7	1	0	0
7	2	1	0
7	4	1	-1
7	3	0	0
7	2	1	0
7	2	0	-1
7	1	1	1
7	4	0	0
7	2	1	0
7	2	1	0
7	1	1	1
7	3	0	1
7	4	1	-1
7	3	0	1
7	1	1	0
7	1	1	1
7	4	1	-1
7	1	1	1
7	4	0	-1
7	1	1	0
7	1	1	1
7	2	1	0
7	3	1	0
7	4	0	0
7	3	0	1
7	3	0	0
7	1	1	1
7	4	0	0
7	4	1	-1
7	1	1	1
7	2	0	-1
7	2	1	0
7	4	0	0
7	4	0	-1
7	1	1	1
7	2	1	0
7	1	1	0
7	2	0	-1
7	1	1	1
7	3	1	0
7	4	0	0
8	2	1	-1
8	2	1	0
8	4	1	-1
8	3	0	1
8	1	1	0
8	4	0	0
8	1	0	0
8	4	1	-1
8	4	1	-1
8	4	0	0
8	1	1	1
8	3	1	0
8	2	0	0
8	3	1	0
8	3	0	1
8	4	0	-1
8	1	1	1
